Datetime,Open,High,Low,Close,Adj Close,Volume
2023-06-04 22:30:00,27322.294921875,27325.091796875,27313.13671875,27314.56640625,27314.56640625,0
2023-06-04 22:45:00,27313.462890625,27337.0078125,27249.337890625,27249.337890625,27249.337890625,116795392
2023-06-04 23:00:00,27245.013671875,27312.96875,27245.013671875,27295.69140625,27295.69140625,118833152
2023-06-04 23:15:00,27295.1875,27295.1875,27183.6796875,27184.296875,27184.296875,139031552
2023-06-04 23:30:00,27159.396484375,27182.7734375,27152.37109375,27161.064453125,27161.064453125,145247232
2023-06-04 23:45:00,27161.4375,27161.4375,27080.955078125,27114.02734375,27114.02734375,133612544
2023-06-05 00:00:00,27123.109375,27129.982421875,27074.701171875,27102.953125,27102.953125,74155008
2023-06-05 00:15:00,27102.017578125,27120.259765625,27059.466796875,27120.259765625,27120.259765625,130430976
2023-06-05 00:30:00,27122.96875,27123.60546875,27083.76171875,27083.76171875,27083.76171875,41606144
2023-06-05 00:45:00,27089.22265625,27089.22265625,27007.490234375,27039.826171875,27039.826171875,193965056
2023-06-05 01:00:00,27035.0,27041.7890625,26981.978515625,26981.978515625,26981.978515625,18172928
2023-06-05 01:15:00,27005.609375,27056.869140625,26965.978515625,27056.869140625,27056.869140625,108857344
2023-06-05 01:30:00,27054.271484375,27054.271484375,27020.18359375,27044.00390625,27044.00390625,6595584
2023-06-05 01:45:00,27038.525390625,27066.3046875,27029.23046875,27056.4296875,27056.4296875,57826304
2023-06-05 02:00:00,27057.515625,27084.111328125,27052.5078125,27077.865234375,27077.865234375,31278080
2023-06-05 02:15:00,27079.041015625,27083.322265625,27069.775390625,27071.392578125,27071.392578125,24532992
2023-06-05 02:30:00,27075.484375,27075.484375,27030.498046875,27030.498046875,27030.498046875,44434432
2023-06-05 02:45:00,27028.783203125,27028.783203125,26936.91015625,26936.91015625,26936.91015625,147676160
2023-06-05 03:00:00,26934.216796875,26934.216796875,26853.8359375,26864.41796875,26864.41796875,279497728
2023-06-05 03:15:00,26870.828125,26882.287109375,26824.150390625,26882.287109375,26882.287109375,205042688
2023-06-05 03:30:00,26894.490234375,26903.8828125,26861.310546875,26868.3984375,26868.3984375,98464768
2023-06-05 03:45:00,26884.615234375,26884.615234375,26835.12109375,26852.453125,26852.453125,73994240
2023-06-05 04:00:00,26850.419921875,26876.431640625,26836.607421875,26862.15625,26862.15625,51270656
2023-06-05 04:15:00,26864.978515625,26872.453125,26838.919921875,26843.67578125,26843.67578125,62328832
2023-06-05 04:30:00,26839.140625,26856.556640625,26810.98828125,26826.923828125,26826.923828125,33976320
2023-06-05 04:45:00,26829.595703125,26842.52734375,26789.7109375,26839.3984375,26839.3984375,83870720
2023-06-05 05:00:00,26843.2578125,26843.2578125,26786.9453125,26786.9453125,26786.9453125,85432320
2023-06-05 05:15:00,26781.529296875,26813.68359375,26778.224609375,26809.619140625,26809.619140625,217658368
2023-06-05 05:30:00,26815.2265625,26840.162109375,26815.2265625,26821.89453125,26821.89453125,72285184
2023-06-05 05:45:00,26828.46484375,26842.46875,26813.427734375,26817.619140625,26817.619140625,66318336
2023-06-05 06:00:00,26827.4296875,26830.814453125,26815.126953125,26824.56640625,26824.56640625,8505344
2023-06-05 06:15:00,26818.76953125,26832.814453125,26810.341796875,26818.3671875,26818.3671875,43133952
2023-06-05 06:30:00,26818.82421875,26818.82421875,26785.787109375,26796.54296875,26796.54296875,36176896
2023-06-05 06:45:00,26798.14453125,26800.76171875,26780.044921875,26785.986328125,26785.986328125,8292352
2023-06-05 07:00:00,26774.185546875,26794.080078125,26770.533203125,26794.080078125,26794.080078125,23331840
2023-06-05 07:15:00,26796.6796875,26829.974609375,26782.9296875,26829.974609375,26829.974609375,44183552
2023-06-05 07:30:00,26833.10546875,26835.416015625,26826.333984375,26832.591796875,26832.591796875,20033536
2023-06-05 07:45:00,26830.818359375,26838.5703125,26828.69140625,26835.375,26835.375,2923520
2023-06-05 08:00:00,26838.150390625,26844.708984375,26837.857421875,26843.849609375,26843.849609375,27334656
2023-06-05 08:15:00,26842.681640625,26842.681640625,26815.1328125,26818.306640625,26818.306640625,12190720
2023-06-05 08:30:00,26821.37109375,26835.29296875,26821.177734375,26835.29296875,26835.29296875,7348224
2023-06-05 08:45:00,26832.359375,26834.798828125,26805.884765625,26805.9140625,26805.9140625,49056768
2023-06-05 09:00:00,26807.87890625,26826.689453125,26762.388671875,26818.150390625,26818.150390625,109846528
2023-06-05 09:15:00,26817.97265625,26819.490234375,26784.490234375,26790.404296875,26790.404296875,23129088
2023-06-05 09:30:00,26793.048828125,26793.048828125,26777.060546875,26777.060546875,26777.060546875,13801472
2023-06-05 09:45:00,26777.259765625,26789.001953125,26776.26953125,26781.177734375,26781.177734375,9005056
2023-06-05 10:00:00,26785.443359375,26798.162109375,26777.2109375,26787.8046875,26787.8046875,18672640
2023-06-05 10:15:00,26785.10546875,26785.10546875,26740.869140625,26740.869140625,26740.869140625,69207040
2023-06-05 10:30:00,26744.15625,26773.791015625,26731.1171875,26739.919921875,26739.919921875,56486912
2023-06-05 10:45:00,26742.7265625,26763.869140625,26734.3359375,26736.509765625,26736.509765625,82367488
2023-06-05 11:00:00,26721.18359375,26767.046875,26712.734375,26752.41796875,26752.41796875,124063744
2023-06-05 11:15:00,26751.28125,26778.390625,26743.80078125,26778.390625,26778.390625,45070336
2023-06-05 11:30:00,26786.2421875,26790.400390625,26765.119140625,26790.400390625,26790.400390625,59013120
2023-06-05 11:45:00,26794.296875,26794.296875,26779.6015625,26786.4453125,26786.4453125,18573312
2023-06-05 12:00:00,26777.15234375,26780.419921875,26767.138671875,26774.62109375,26774.62109375,3267584
2023-06-05 12:15:00,26774.87890625,26777.642578125,26735.521484375,26735.521484375,26735.521484375,58757120
